ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,nhs_board,age_group
2017-01-01,-4.4094530647774315,2.498599562064789,4.288993161214673,-4.4094530647774315,-4.4094530647774315,7.761033760588438,7.761033760588438,7.761033760588438,7.761033760588438,7.761033760588438,7.761033760588438,0.0,0.0,0.0,3.3515806958110064,Fife,0 up to 19
2018-01-01,-4.71523306875445,2.2559471606172745,4.027907523839132,-4.71523306875445,-4.71523306875445,7.83120697603531,7.83120697603531,7.83120697603531,7.83120697603531,7.83120697603531,7.83120697603531,0.0,0.0,0.0,3.1159739072808605,Fife,0 up to 19
2019-01-01,-5.021013072731467,1.9268253444822279,3.8060329951904732,-5.021013072731467,-5.021013072731467,7.901641456061298,7.901641456061298,7.901641456061298,7.901641456061298,7.901641456061298,7.901641456061298,0.0,0.0,0.0,2.8806283833298307,Fife,0 up to 19
2020-01-01,-5.326793076708485,1.7813942063494341,3.555340873283363,-5.326793076708485,-5.326793076708485,7.9722508128912235,7.9722508128912235,7.9722508128912235,7.9722508128912235,7.9722508128912235,7.9722508128912235,0.0,0.0,0.0,2.6454577361827383,Fife,0 up to 19
2020-12-31,-5.632573080685504,1.5169328818726546,3.2522785566443044,-5.632583147466892,-5.63256435133481,8.042945267406308,8.042945267406308,8.042945267406308,8.042945267406308,8.042945267406308,8.042945267406308,0.0,0.0,0.0,2.410372186720804,Fife,0 up to 19
2021-12-31,-5.9383530846625225,1.3386395387646313,3.032650456895042,-5.938384610145741,-5.938322942025975,8.11363178182915,8.11363178182915,8.11363178182915,8.11363178182915,8.11363178182915,8.11363178182915,0.0,0.0,0.0,2.175278697166628,Fife,0 up to 19
2022-12-31,-6.24413308863954,1.0523330176618266,2.8362332774407517,-6.244194703265366,-6.244072896745716,8.184214199600271,8.184214199600271,8.184214199600271,8.184214199600271,8.184214199600271,8.184214199600271,0.0,0.0,0.0,1.9400811109607314,Fife,0 up to 19
2023-12-31,-6.549913092616558,0.8206711450113183,2.574779801121937,-6.550007738146631,-6.549816099706207,8.254593392200208,8.254593392200208,8.254593392200208,8.254593392200208,8.254593392200208,8.254593392200208,0.0,0.0,0.0,1.70468029958365,Fife,0 up to 19
2024-12-31,-6.856530850029129,0.3000968575296694,2.097125382647297,-6.856669730650735,-6.8563900875621515,8.042945267405543,8.042945267405543,8.042945267405543,8.042945267405543,8.042945267405543,8.042945267405543,0.0,0.0,0.0,1.1864144173764135,Fife,0 up to 19
2001-01-01,4.931954093089509,59.18680766704433,74.38272545430878,4.931954093089509,4.931954093089509,61.64031755561376,61.64031755561376,61.64031755561376,61.64031755561376,61.64031755561376,61.64031755561376,0.0,0.0,0.0,66.57227164870326,Fife,20 to 24
